Name,Email,Username,Item Name,Category,Model Name,Manufacturer,Model Number,Serial Number,Asset Tag,Location,Notes,Purchase Date,Purchase Cost,Company,Status,Warranty Months,Supplier
,,,Torque wrench ,Additional Equiptment,OES-T003,N/A,,OES-T003,OES-T003,OES EQ DXB.,"Range 70 TO 350Nm
SN WUJ44239 ----- ",,,,Available,,
,,,Eddy Current,Additional Equiptment,800ULQ3,N/A,,800ULQ3,800ULQ3,OES Brasil,"Charger/Battery S/N NA
Lithium Ion Battery S/N 1005532/272
Probe (632-265-009) S/N 022Y8D
Probe 130P3 S/N EC02322/09
Adapter BNC/LEMO S/N NA
Cable LEMO/LEMO S/N NA
Cable LEMO/LEMO S/N NA 
Cable BNC/BNC S/N NA
Testblock - 31A008 S/N EC02405/01 ----- ",,,,Available,,
,,,Drill Bit Set,Additional Equiptment,OESBRZ035,N/A,,OESBRZ035,OESBRZ035,OES Brasil,Drills Kit Sets - Bosch ----- ,,,,Available,,
,,,Drill Bit Set,Additional Equiptment,OESBRZ036,N/A,,OESBRZ036,OESBRZ036,OES Brasil,Drills Kit Sets - Bosch ----- ,,,,Available,,
,,,Needle Gun,Additional Equiptment,2010243P,N/A,,2010243P,2010243P,OES Brasil,19 Needles ----- ,,,,Available,,
,,,Eddy Current,Additional Equiptment,65574SB/01,N/A,,65574SB/01,65574SB/01,OES USA,"Charger/Battery S/N 100419
Lead Probe 1.5m
Weldscan Probe 16mm - SN EC04725/04
Weldscan Probe 11mm - SN EC04510/02 - removed 9 April
Weldscan Probe 11mm - SN 1143128/03
Paint probe - SN EC01031/02
Adapter S/N NA
Testblock S/N NA
Lithium Polymer Battery SN 1010654/460
Setting Block S/N 4305
Cable 1.5m S/N CZ1010/396
Cable 6' S/N NA
USB Cable S/N 65574SB/01 ----- Being hand carried to the UK by Robert Lynch to be given to Terri McNeill for reapirs.

In Aberdeen office 26.10.2016",,,,Out for Calibration,,
,,,Lighting/Lux Meter,Additional Equiptment,500909-51,N/A,,500909-51,500909-51,OES USA,"LumaCheck Dual Light Meter, plus Light Sensor - SN 500911-25 ----- Reserved for Maersk Viking - for Fedex to Singapore w/c 20 Jan
Serial number corrected 17 Apr 14 from 500398-09, inserted in error

April 3rd 2015 - Currently in UK for Calibration. Mike will keep in UK. The Ligh Meter that was sent out here for loan with stay in the US SN 500909-51.",,,,Out for Calibration,,
,,,Eddy Current,Additional Equiptment,577306/02,N/A,,577306/02,577306/02,OES EQ DXB.,"Charger/Battery S/N IE145170
Lithium Ion Battery S/N 8664
Probe11mm S/N 1379396/03
Probe 130P3U S/N EC02990/02
Testblock S/N 326935/04
15mm Probe S/N EC05366/08
Adaptor with BNC cable SN 324669/10

USB Cable S/N# N/A
 ----- hand carried by Leon from Saudi to Dubai on the 10/10/2015
Hand carry by Ben Quayle from DXB-AIMS office",,,,Available,,
,,,Eddy Current,Additional Equiptment,800YBRL,N/A,,800YBRL,800YBRL,OES UK,"Lithium Ion Battery S/N 1005532/102
Adapter (Lemo - BNC) S/N NA
Pencil Probe 130P3 S/N EC02322/08
11mm Weldscan Probe 1457565/04
16mm Weldscan Probe 504094/01 (ETHER)
Cable - BNC - BNC 6' 074-140-022 S/N NA
cal block
Cable Lemo 12 - Lemo 4 074-140-022 S/N NA
Cable Lemo 12 - Lemo 4 074-140-022 S/N NA
Testblock 31A008 078-540-000 S/N EC002414/02 ----- AT RSL for recalibration 22.09.2016
Returned from Maersk Discoverer 16 July 14 - Transfered to 
Weldscan probe damaged - 11 Sept 14 - replacement added 15 Sept 14 - SN 1457269/05
New 16mm Probe added 29 Dec 14, plus 2 mew leads",,,,Signed Out,,
,,,Buffer,Additional Equiptment,400-160,N/A,,400-160,400-160,OES USA,DeWalt 10A Buffer/Sander ----- ,,,,Available,,
,,,Torq-up Raptor RP-6000,Additional Equiptment,09125-5,N/A,,09125-5,09125-5,OES USA, -----  ,,,,Quarantine - in office,,
,,,Band-it Steel Tape Embosser,Additional Equiptment,949,N/A,,949,949,OES USA, ----- ,,,,Signed Out,,
,,,Torque Wrench,Additional Equiptment,DHK16950,N/A,,DHK16950,DHK16950,OES USA,Proto J8020AB Torque Wrench C/W 6212 Muliplier ----- Waiting for jobs before getting calibrated if needed.,,,,Quarantine - in office,,
,,,Ropes Equipment,Additional Equiptment,OES-DXB-RO11,N/A,,OES-DXB-RO11,OES-DXB-RO11,AIMS OFFICE KSA, ----- Missing gears,,,,Available,,
,,,Lighting/Lux Meter,Additional Equiptment,130400468,N/A,,130400468,130400468,OES Singapore,"New Luxmeter Purchases  
 on 22/01/2014
 ----- The Unit sent by fedex on 10/06/2015 to Singapore.through Fedex Airway Bill: 773796704895
Received by OES Singapore on 12 June 2015",,,,Recalibrate As Required,,
,,,IRT Camera,Additional Equiptment,377001654,N/A,,377001654,377001654,OES Singapore,"IRT Camera FLIR T360 

Clamp Meter SN 24690073. ----- Calibrated on the 01/09/2015 at Haris Al Afaq
Hand over by 07th Oct 2015

Sent to and Received By Singapore office on 20 Nov 2015",,,,Recalibrate As Required,,
,,,Clamp Meter,Additional Equiptment,90460702,N/A,,90460702,90460702,OES USA,Fluke Clamp Meter - 2 ----- ,,,,Available,,
,,,Clamp Meter,Additional Equiptment,12970538,N/A,,12970538,12970538,OES USA,"Model -FLUKE 376
 ----- 


",,,,Available,,
,,,Test Block,Additional Equiptment,Sep-25,N/A,,Sep-25,Sep-25,OES EQ DXB., ----- ,,,,Available,,
,,,Test Block,Additional Equiptment,Oct-92,N/A,,Oct-92,Oct-92,AIMS OFFICE KSA,x5 steps block ----- with 08082989 ut gauge,,,,Signed Out,,
,,,Test Block,Additional Equiptment,Aug-22,N/A,,Aug-22,Aug-22,OES EQ DXB., ----- ,,,,Available,,
,,,Test Block,Additional Equiptment,OES 1778,N/A,,OES 1778,OES 1778,AIMS OFFICE KSA,18KG test block ----- ,,,,Available,,
,,,Test Block,Additional Equiptment,10405,N/A,,10405,10405,OES EQ DXB., ----- ,,,,Available,,
,,,Dial Indicator,Additional Equiptment,81016778,N/A,,81016778,81016778,OES EQ DXB.,"w/ Magnet Base ----- 
No gauge available, as per Leon Dashwood we will keep this part for spares.",,,,Quarantine - in office,,
,,,Dial Indicator,Additional Equiptment,81016594,N/A,,81016594,81016594,OES EQ DXB.,w/ Magnet Base ----- ,,,,Signed Out,,
,,,Dial Indicator,Additional Equiptment,4251791,N/A,,4251791,4251791,OES EQ DXB.,"Magnetic Base 7010S ----- the tool not available in DXB and KSA office 
need to find out with other office",,,,Not available,,
,,,Sound Meter & Acoustic Calibrator,Additional Equiptment,C19774FA & 45287,N/A,,C19774FA & 45287,C19774FA & 45287,OES UK,"Sound Level Meter - CR:812B  
Acoustic Calibrator - CR: 515 ----- In Aberdeen office",,,,Available,,
,,,UT Probe,Additional Equiptment,01X362,N/A,,01X362,01X362,OES EQ DXB.,Krautkramer Transducer ----- ,,,,Available,,
,,,UT Probe,Additional Equiptment,01V1RW,N/A,,01V1RW,01V1RW,OES EQ DXB.,Krautkramer Transducer ----- ,,,,Available,,
,,,UT Probe,Additional Equiptment,01V1RV,N/A,,01V1RV,01V1RV,OES EQ DXB.,Krautkramer Transducer ----- ,,,,Available,,
,,,Ropes Equipment,Additional Equiptment,OES-DXB-RO4,N/A,,OES-DXB-RO4,OES-DXB-RO4,AIMS OFFICE KSA,"x3 Bags
x1 Rescue Bag ----- Waiting for Rope to replace and the PPE test to be done",,,,Signed Out,,
,,,Ropes Equipment,Additional Equiptment,OES-DXB-RO6,N/A,,OES-DXB-RO6,OES-DXB-RO6,AIMS OFFICE KSA,"PPE Inspection Required

x3 Bags
x1 Rescue Bag ----- Waiting for refreshment",,,,Available,,
,,,Ropes Equipment,Additional Equiptment,OES-DXB-RO7,N/A,,OES-DXB-RO7,OES-DXB-RO7,AIMS OFFICE KSA," ----- As per advice by Leon, the Equipment leave on board permenatly on Ensco 88",,,,Signed Out,,
,,,Hardness Tester,Additional Equiptment,EP01-002-0253,N/A,,EP01-002-0253,EP01-002-0253,OES USA, ----- Waiting for work to be calibrated.,,,,Quarantine - in office,,
,,,Padeye Test Frame,Additional Equiptment,DXB_124,N/A,,DXB_124,DXB_124,AIMS OFFICE KSA,"Sent to COSL Base in Sharjah
Rig: COSL Strike ----- Sent to COSL Base in Sharjah
Rig: COSL Strike",,,,Available,,
,,,Padeye Test Frame,Additional Equiptment,DXB_125,N/A,,DXB_125,DXB_125,AIMS OFFICE KSA,"Sent to Iraq
Rig: WPD 840/841/ 161 ----- Sent to Iraq
Rig: WPD 840/841/ 161",,,,Signed Out,,
,,,Padeye Test Frame,Additional Equiptment,DXB_126,N/A,,DXB_126,DXB_126,AIMS OFFICE KSA,"Sent to Doha
Rig: Al Khor ----- Sent to Doha
Rig: Al Khor",,,,Signed Out,,
,,,Padeye Test Frame,Additional Equiptment,DXB_127,N/A,,DXB_127,DXB_127,AIMS OFFICE KSA,"Sent to KSA
Rig: Nabors 655 ----- Sent to KSA
Rig: Nabors 655",,,,Signed Out,,
,,,Padeye Test Frame,Additional Equiptment,UK_128,N/A,,UK_128,UK_128,OES UK," ----- Sent to UK
Rig: E105",,,,Signed Out,,
,,,Padeye Test Frame,Additional Equiptment,DXB_129,N/A,,DXB_129,DXB_129,AIMS OFFICE KSA,"Sent to Dammam
Rig: Hercules 261 ----- Sent to Dammam
Rig: Hercules 261",,,,Signed Out,,
,,,Padeye Test Frame,Additional Equiptment,DXB_130,N/A,,DXB_130,DXB_130,AIMS OFFICE KSA,"Sent to Iran
Rig: Deep Driller 5 ----- Sent to Iran
Rig: Deep Driller 5",,,,Signed Out,,
,,,Padeye Test Frame,Additional Equiptment,DXB_131,N/A,,DXB_131,DXB_131,AIMS OFFICE KSA,"Sent to Darwin, Australia
Rig: Ensco 104 ----- Sent to Darwin, Australia
Rig: Ensco 104",,,,Signed Out,,
,,,Padeye Test Frame,Additional Equiptment,DXB_132,N/A,,DXB_132,DXB_132,AIMS OFFICE KSA,"Sent to Libya
Rig: WDI 803 ----- Sent to Libya
Rig: WDI 803",,,,Signed Out,,
,,,Padeye Test Frame,Additional Equiptment,DXB_133,N/A,,DXB_133,DXB_133,AIMS OFFICE KSA,"Sent to Dubai
Rig: Pride Venezuela ----- Sent to Dubai
Rig: Pride Venezuela",,,,Signed Out,,
,,,Padeye Test Frame,Additional Equiptment,DXB_134,N/A,,DXB_134,DXB_134,AIMS OFFICE KSA,"Sent to Australia
Rig: Ensco 109 ----- Sent to Australia
Rig: Ensco 109",,,,Signed Out,,
,,,Padeye Test Frame,Additional Equiptment,DXB_139,N/A,,DXB_139,DXB_139,AIMS OFFICE KSA,"Sent to Yemen
Rig: Joeco 50106 ----- Sent to Yemen
Rig: Joeco 50106",,,,Signed Out,,
,,,Padeye Test Frame,Additional Equiptment,DXB_142,N/A,,DXB_142,DXB_142,AIMS OFFICE KSA,"Sent to KSA
Rig: Hank Boswell ----- Sent to KSA
Rig: Hank Boswell",,,,Signed Out,,
,,,Padeye Test Frame,Additional Equiptment,DXB_141,N/A,,DXB_141,DXB_141,AIMS OFFICE KSA,"Sent to Iran
Rig: DD6 ----- Sent to Iran
Rig: DD6",,,,Signed Out,,
,,,Padeye Test Frame,Additional Equiptment,DXB_143,N/A,,DXB_143,DXB_143,AIMS OFFICE KSA,"Sent to KSA 
Rig: Nabors 660 ----- Sent to KSA 
Rig: Nabors 660",,,,Signed Out,,
,,,Ropes Equipment,Additional Equiptment,OES-DXB-RO9,N/A,,OES-DXB-RO9,OES-DXB-RO9,SK INDIA OFFICE,"x3 Ropes Bags
x1 Rescue Bag ----- PPE test to be done",,,,Quarantine,,
,,,Padeye Test Frame,Additional Equiptment,UK_137,N/A,,UK_137,UK_137,OES UK, ----- Rig: Gorilla VII,,,,Signed Out,,
